Cluster Name, Alt Name ,SWA, log(Gas Mass), log(Total Mass), Gas_Frac, Asym, ellip
      A2199      ,     ,0,      12.9700518  ,        14.0643950   ,        0.0804742,0.159007639 ,0.0772894844
      A2204      ,     ,1,      13.6042805  ,        14.5542059   ,        0.1122211,0.077237688 ,0.0162428152
      A2218      ,     ,0,      13.3221121  ,        14.4099207   ,        0.0816942,0.0406887531 , 0.0178977828
      A2256      ,     ,0,      13.3396683  ,        14.3946705   ,        0.0881044,0.0232787002 ,0.0504424162
      A2319      ,     ,0,      13.5896816  ,        14.5192156   ,        0.1176159,0.0786145478 ,0.0427382924
      A2589      ,     ,0,      12.7548513  ,        13.8776836   ,        0.0753646,0.0415766537 ,0.15837732
      A2597      ,     ,0,      13.0009022  ,        14.0398998   ,        0.0914118,0.0424130224 ,0.0391247086
      A2626      ,     ,0,      12.8003550  ,        14.0271902   ,        0.0593150,0.0129828472 ,0.0318803824
      A2667      ,     ,0,      13.4245281  ,        14.4195862   ,        0.1011444,0.0096628666 ,0.0165385827
      A2717      ,     ,0,      12.4454641  ,        13.6402159   ,        0.0638628,0.054892581 ,0.00642829249
      A3112      ,     ,0,      13.1179028  ,        14.1622953   ,        0.0902833,0.0280191191 ,0.0325182825
      A3158      ,     ,0,      13.0637064  ,        14.0412550   ,        0.1053056,0.0544598028 ,0.112855978
      A3526      ,     ,0,      12.3324862  ,        13.4500971   ,        0.0762762,0.0199789181 ,0.0487637445
      A3558      ,     ,0,      13.0400753  ,        14.0003080   ,        0.1095891,0.0385565497 ,0.127117276
      A3560      ,     ,0,      12.4572802  ,        13.6709118   ,        0.0611460,0.0252383538 ,0.0332150869
      A3581      ,     ,0,      12.2939968  ,        13.4572182   ,        0.0686718,0.0587962158 ,0.0068707508
      A3827      ,     ,0,      13.3093271  ,        14.3439035   ,        0.0923472,0.0199206043 ,0.0368674546
      A3911      ,     ,0,      13.0923109  ,        14.1914444   ,        0.0795915,0.0834234953 ,0.0555753075
      A3921      ,     ,0,      13.0782080  ,        14.1186028   ,        0.0911182,0.0894468203 ,0.101765998 
      A4059      ,     ,0,      12.9110126  ,        14.0226965   ,        0.0773243, 0.0246842839,0.0645333678
      AS1101     ,     ,0,      12.7672205  ,        13.7840786   ,        0.0961927,0.0845066234 ,0.0223370995
      AWM7       ,     ,0,      12.6848135  ,        13.6555510   ,        0.1069701,0.00785594899 ,0.130832285
      E1455+2232 ,     ,0,      13.3490362  ,        14.3135138   ,        0.1085232,0.0107010677 ,0.0733217746
      EXO0422    ,     ,0,      12.6390133  ,        13.8020182   ,        0.0687061,0.0167588722 ,0.0598089024
      HYDRA      ,     ,0,      12.9523172  ,        13.8926353   ,        0.1147313,0.0404935405 ,0.0548709929
      Klemola44  ,     ,0,      12.7380161  ,        13.8351345   ,        0.0799616,0.0131855626 ,0.0713673979
      M87        ,     ,0,      12.1830988  ,        14.1706638   ,        0.0102905,0.123159915 ,0.0423372611
      MKW3S      ,     ,0,      12.7947378  ,        13.8877363   ,        0.0807238,0.128628865 ,0.0422641933
      MKW4       ,     ,0,      12.2468252  ,        13.5946217   ,        0.0448956,0.0781914815 ,0.0494172014
      PKS0745-29 ,     ,1,      13.5418711  ,        14.5153093   ,        0.1063070, 0.0179781504,0.0192576442
      RXCJ0605.8-351,  ,0,      13.1742773  ,        14.1674004   ,        0.1015961,0.0258335099 ,0.0774796754
      RXCJ2234.5-374,  ,0,      13.6005154  ,        14.7077618   ,        0.0781184,0.100049354 ,0.0673592016
      RXJ0658-55 ,     ,0,      13.9575491  ,        14.9049788   ,        0.1128679,0.0145585835 ,0.0388334841
      RXJ1347-1145,    ,0,      13.8835850  ,        14.8481998   ,        0.1084889,0.0401049927 ,0.0270237047 
      Sersic159-3,     ,0,      12.8052969  ,        13.8905668   ,        0.0821732,0.0111142918 ,0.0171584878
      Triangulum ,     ,0,      13.4510984  ,        14.4129858   ,        0.1091723,0.051396586 ,0.0725975856
      ZW3146     ,     ,0,      13.5561419  ,        14.5025883   ,        0.1131237,0.0466312878 ,0.0154438019
